category,subcategory,pattern
Income,Salary,SALARY
Income,Salary,PAYROLL
Income,Salary,EMPLOYER NAME
Income,Salary,r\bBACS\b CREDIT
Income,Salary,DIRECT CREDIT
Income,Freelance,FREELANCE
Income,Freelance,UPWORK
Income,Freelance,FIVERR
Income,Freelance,PAYMENT FROM CLIENT
Income,Government Benefits,CHILD BENEFIT
Income,Government Benefits,UNIVERSAL CREDIT
Income,Government Benefits,PENSION CREDIT
Income,Government Benefits,JOBSEEKERS ALLOWANCE
Income,Government Benefits,BENEFIT PAYMENT
Income,Government Benefits,r\bDWP\b PAYMENT
Income,Government Benefits,CARERS ALLOWANCE
Income,Investments,DIVIDEND
Income,Investments,INTEREST
Income,Other,OTHER INCOME
Income,Other,REFUND
Income,Other,BONUS
Income,Other,PENSION PAYMENT
Taxes,Income Tax,HM REVENUE
Taxes,Income Tax,TAX PAYMENT
Taxes,Income Tax,SELF ASSESSMENT
Taxes,Income Tax,NATIONAL INSURANCE
Taxes,Income Tax,HMRC
Taxes,Council Tax,LOCAL AUTHORITY
Taxes,Council Tax,COUNCIL PAYMENT
Taxes,Council Tax,COUNCIL TAX
Taxes,Council Tax,LONDON BOROUGH
Taxes,Council Tax,CITY COUNCIL
Taxes,TV License,TV LICENCE
Taxes,TV License,BBC PAYMENT
Taxes,TV License,TV LICENSING
Taxes,TV License,r\bBBC\b
Taxes,Vehicle,ROAD TAX
Taxes,Vehicle,VEHICLE EXCISE DUTY
Taxes,Vehicle,r\bCAR\b TAX
Taxes,Vehicle,r\bVED\b PAYMENT
Taxes,Vehicle,VEHICLE TAX
Taxes,Vehicle,r\bDVLA\b
Home,Rent/Mortgage,LANDLORD
Home,Rent/Mortgage,r\bRENT\b
Home,Rent/Mortgage,MORTGAGE PAYMENT
Home,Rent/Mortgage,rMORTGAGE
Home,Rent/Mortgage,r\bHALIFAX\b
Home,Rent/Mortgage,NATWEST MORTGAGE
Home,Energy,UTILITY BILL
Home,Energy,r\bENERGY\b
Home,Energy,r\bEDF\b ENERGY
Home,Energy,r\bE.ON\b
Home,Energy,OCTOPUS ENERGY
Home,Energy,NATURAL GAS
Home,Energy,BRITISH GAS
Home,Water,WATER BILL
Home,Water,SOUTHERN WATER
Home,Water,THAMES WATER
Home,Internet/Phone,VIRGIN MEDIA
Home,Internet/Phone,TALKTALK
Home,Internet/Phone,VODAFONE
Home,Insurance,HOME INSURANCE
Home,Insurance,BUILDINGS INSURANCE
Home,Insurance,CONTENTS INSURANCE
Home,Insurance,MORE THAN
Home,Maintenance,REPAIRS
Home,Maintenance,r\bB&Q\b
Home,Maintenance,WICKES
Home,Maintenance,PLUMBER
Home,Maintenance,SCREWFIX
Domestic Services,House Cleaning,CLEANING SERVICE
Domestic Services,House Cleaning,HOUSEKEEP
Domestic Services,House Cleaning,MOLLY MAID
Domestic Services,House Cleaning,HOUSEKEEPING
Domestic Services,House Cleaning,CLEANER
Domestic Services,Dry Cleaning,DRY CLEAN
Domestic Services,Dry Cleaning,I HATE IRONING
Domestic Services,Dry Cleaning,r\bTIMPSON\b
Domestic Services,Dry Cleaning,JOHNSONS CLEANERS
Domestic Services,Childcare,CHILDCARE
Domestic Services,Childcare,BABYSITTER
Domestic Services,Childcare,OFSTED
Domestic Services,Dog Walker,DOG WALK
Domestic Services,Dog Walker,PET CARE
Domestic Services,Dog Walker,BARKING MAD
Food/Dining,Groceries,SUPERMARKET
Food/Dining,Groceries,TESCO
Food/Dining,Groceries,SAINSBURYS
Food/Dining,Groceries,ASDA
Food/Dining,Groceries,MORRISONS
Food/Dining,Groceries,WAITROSE
Food/Dining,Groceries,ALDI
Food/Dining,Groceries,LIDL
Food/Dining,Groceries,LONDIS
Food/Dining,Groceries,CO-OP
Food/Dining,Groceries,M&S
Food/Dining,Groceries,BAYLEY & SAGE
Food/Dining,Groceries,WHOLE FOODS MARKET
Food/Dining,Groceries,PLANET ORGANIC
Food/Dining,Groceries,AS NATURE INTENDED
Food/Dining,Groceries,KRYSTALS EXPRESS
Food/Dining,Groceries,DUGARD AND DAUGHTERS
Food/Dining,Restaurants/Bars/Pubs,RESTAURANT
Food/Dining,Restaurants/Bars/Pubs,MCDONALDS
Food/Dining,Restaurants/Bars/Pubs,NANDOS
Food/Dining,Restaurants/Bars/Pubs,DINING OUT
Food/Dining,Restaurants/Bars/Pubs,DINNER
Food/Dining,Restaurants/Bars/Pubs,LUNCH
Food/Dining,Restaurants/Bars/Pubs,DRINKS
Food/Dining,Restaurants/Bars/Pubs,SUSHI
Food/Dining,Restaurants/Bars/Pubs,WINE BAR
Food/Dining,Restaurants/Bars/Pubs,DISHOOM
Food/Dining,Restaurants/Bars/Pubs,r\bPUB\b
Food/Dining,Restaurants/Bars/Pubs,TORTILLA
Food/Dining,Restaurants/Bars/Pubs,NOODLES
Food/Dining,Restaurants/Bars/Pubs,r\bLEON\b
Food/Dining,Restaurants/Bars/Pubs,ALL BAR ONE
Food/Dining,Restaurants/Bars/Pubs,r\bSALAD\b
Food/Dining,Cafes/Bakeries,r\bCAFE\b
Food/Dining,Cafes/Bakeries,COFFEE
Food/Dining,Cafes/Bakeries,STARBUCKS
Food/Dining,Cafes/Bakeries,PRET A MANGER
Food/Dining,Cafes/Bakeries,COSTA
Food/Dining,Cafes/Bakeries,BRUNCH
Food/Dining,Cafes/Bakeries,BREAKFAST
Food/Dining,Cafes/Bakeries,MEGAN?S
Food/Dining,Cafes/Bakeries,BREW HOUSE
Food/Dining,Cafes/Bakeries,LE PAIN QUOTIDIEN
Food/Dining,Cafes/Bakeries,BAKERY
Food/Dining,Cafes/Bakeries,r\bESPRESSO\b
Food/Dining,Takeaway/Delivery,FOOD DELIVERY
Food/Dining,Takeaway/Delivery,JUST EAT
Food/Dining,Takeaway/Delivery,DELIVEROO
Food/Dining,Takeaway/Delivery,UBER EATS
Food/Dining,Alcohol,BERRY BROS
Food/Dining,Alcohol,THE SCOTCH WHISKY EXPERIENCE
Food/Dining,Other,NESPRESSO
Food/Dining,Other,r\bT2\b
Transportation,Fuel,PETROL STATION
Transportation,Fuel,r\bESSO\b
Transportation,Fuel,TESCO FUEL
Transportation,Car Lease,CAR LEASE
Transportation,Car Lease,LEASEPLAN
Transportation,Car Lease,ARNOLD CLARK
Transportation,Car Lease,CAR FINANCE
Transportation,Insurance,CAR INSURANCE
Transportation,Insurance,VEHICLE INSURANCE
Transportation,Insurance,ADMIRAL
Transportation,Insurance,DIRECT LINE
Transportation,Insurance,AVIVA
Transportation,Public Transport,OYSTER CARD
Transportation,Public Transport,TRAVELCARD
Transportation,Public Transport,r\bTFL\b
Transportation,Public Transport,TRANSPORT FOR LONDON
Transportation,Public Transport,NATIONAL RAIL
Transportation,Public Transport,SOUTHERN RAIL
Transportation,Public Transport,GREAT WESTERN
Transportation,Public Transport,TRAINLINE
Transportation,Public Transport,SEATFROG
Transportation,Public Transport,AVANTI WEST
Transportation,Rideshare,RIDESHARE
Transportation,Rideshare,r\bUBER\b
Transportation,Rideshare,BOLT
Transportation,Rideshare,FREE NOW
Transportation,Rideshare,LIME BIKE
Transportation,Rideshare,ZIPCAR
Transportation,Rideshare,TAXI
Transportation,Vehicle Maintenance,HALFORDS
Transportation,Vehicle Maintenance,KWIK FIT
Transportation,Vehicle Maintenance,CAR REPAIR
Transportation,Vehicle Maintenance,r\bMOT\b
Transportation,Parking,PARKING
